GeneID	KOID	PathwayID
gid100968.0.1	K13426	map04016
gid100968.0.1	K13426	map04626
gid100971.0.1	K10803	map03410
gid10097.0.1	K12668	map00510
gid10097.0.1	K12668	map04141
gid100987.0.1	K09841	map00906
gid10098.0.1	K11098	map03040
gid1009.0.1	K18213	map03013
gid101026.1.1	K14537	map03008
gid101026.1.2	K14537	map03008
gid10103.0.1	K07407	map00052
gid10103.0.1	K07407	map00561
gid10103.0.1	K07407	map00600
gid10103.0.1	K07407	map00603
gid10104.0.1	K00121	map00010
gid10104.0.1	K00121	map00071
gid10104.0.1	K00121	map00350
gid101069.0.1	K10802	map03410
gid10107.0.1	K14560	map03008
gid101109.0.2	K01214	map00500
gid101114.0.1	K14293	map03013
gid101139.0.1	K00279	map00908
gid101177.0.2	K18592	map00430
gid101177.0.2	K18592	map00460
gid101177.0.2	K18592	map00480
gid101177.0.2	K18592	map00590
gid101189.0.1	K00972	map00520
gid101195.0.1	K00850	map00010
gid101195.0.1	K00850	map00030
gid101195.0.1	K00850	map00051
gid101195.0.1	K00850	map00052
gid101195.0.1	K00850	map03018
gid101199.0.1	K04079	map04141
gid101199.0.1	K04079	map04626
gid10121.0.1	K14006	map04141
gid101235.0.1	K08331	map04136
gid10125.0.1	K07937	map04144
gid10125.0.2	K07937	map04144
gid101273.0.1	K05857	map00562
gid101273.0.1	K05857	map04070
gid101273.0.1	K05857	map04933
gid101284.0.1	K12197	map04144
gid10129.0.1	K16190	map00040
gid10129.0.1	K16190	map00053
gid10129.0.1	K16190	map00520
gid10131.0.1	K22771	map00944
gid101324.0.1	K12200	map04144
gid101337.0.1	K00430	map00940
gid101357.0.2	K11262	map00061
gid101357.0.2	K11262	map00254
gid101357.0.2	K11262	map00620
gid101357.0.2	K11262	map00640
gid101362.0.1	K10251	map00062
gid101362.0.1	K10251	map01040
gid101372.0.1	K07204	map04136
gid101374.0.1	K03125	map03022
gid101385.0.2	K03238	map03013
gid101385.0.3	K03238	map03013
gid101387.0.7	K01191	map00511
gid1013.0.1	K14300	map03013
gid10143.0.1	K00026	map00020
gid10143.0.1	K00026	map00270
gid10143.0.1	K00026	map00620
gid10143.0.1	K00026	map00630
gid10143.0.1	K00026	map00710
gid10143.1.2	K00026	map00020
gid10143.1.2	K00026	map00270
gid10143.1.2	K00026	map00620
gid10143.1.2	K00026	map00630
gid10143.1.2	K00026	map00710
gid101444.0.1	K01897	map00061
gid101444.0.1	K01897	map00071
gid101444.0.1	K01897	map04146
gid10144.0.1	K14431	map04075
gid101460.0.1	K03247	map03013
gid101460.0.3	K03247	map03013
gid10147.0.1	K00547	map00270
gid101485.0.1	K02909	map03010
gid1014.0.1	K00102	map00620
gid101518.0.2	K06443	map00906
gid101526.0.2	K05278	map00941
gid10153.0.1	K00939	map00230
gid10153.0.1	K00939	map00730
gid101553.0.1	K00857	map00240
gid101585.0.2	K20781	map00514
gid1015.0.1	K17686	map04016
gid10161.0.1	K00012	map00040
gid10161.0.1	K00012	map00053
gid10161.0.1	K00012	map00520
gid10161.1.1	K19891	map00500
gid101625.0.1	K01661	map00130
gid10163.0.1	K00033	map00030
gid10163.0.1	K00033	map00480
gid10163.0.2	K00033	map00030
gid10163.0.2	K00033	map00480
gid101655.0.1	K04799	map03030
gid101655.0.1	K04799	map03410
gid101655.0.1	K04799	map03450
gid101660.0.2	K12124	map04712
gid10166.0.1	K14496	map04016
gid10166.0.1	K14496	map04075
gid10167.0.1	K13229	map00402
gid101684.0.1	K10575	map04120
gid101684.0.1	K10575	map04141
gid101686.0.1	K06100	map03015
gid10168.0.1	K03013	map00230
gid10168.0.1	K03013	map00240
gid10168.0.1	K03013	map03020
gid101718.0.2	K00852	map00030
gid10172.0.1	K04554	map04120
gid10172.0.1	K04554	map04141
gid101735.0.1	K00412	map00190
gid101735.0.3	K00412	map00190
gid10173.0.1	K01507	map00190
gid10173.0.2	K01507	map00190
gid10173.1.1	K01507	map00190
gid101744.0.1	K00111	map00564
gid10176.0.1	K13832	map00400
gid10177.0.1	K00927	map00010
gid10177.0.1	K00927	map00710
gid10177.0.2	K00927	map00010
gid10177.0.2	K00927	map00710
gid10177.0.3	K00927	map00010
gid10177.0.3	K00927	map00710
gid10177.0.4	K00927	map00010
gid10177.0.4	K00927	map00710
gid101782.0.1	K00083	map00940
gid10178.0.1	K05692	map04145
gid10180.0.1	K15746	map00906
gid101813.0.1	K03239	map03013
gid10183.0.1	K13429	map04626
gid10184.0.1	K00276	map00260
gid10184.0.1	K00276	map00350
gid10184.0.1	K00276	map00360
gid10184.0.1	K00276	map00410
gid10184.0.1	K00276	map00950
gid10184.0.1	K00276	map00960
gid101875.0.2	K12827	map03040
gid101875.0.4	K12827	map03040
gid101878.0.1	K05288	map00563
gid101878.0.2	K05288	map00563
gid10187.0.1	K03065	map03050
gid101896.0.1	K01535	map00190
gid101903.0.1	K00921	map00562
gid101903.0.1	K00921	map04070
gid101903.0.1	K00921	map04145
gid10190.0.1	K05643	map02010
gid10193.0.1	K05758	map04144
gid101941.1.1	K04120	map00904
gid101946.0.1	K04368	map04626
gid101948.0.1	K13420	map04016
gid101948.0.1	K13420	map04626
gid10195.0.1	K07936	map03008
gid10195.0.1	K07936	map03013
gid10195.0.2	K07936	map03008
gid10195.0.2	K07936	map03013
gid101976.0.1	K00948	map00030
gid101976.0.1	K00948	map00230
gid10197.0.1	K00940	map00230
gid10197.0.1	K00940	map00240
gid10197.0.1	K00940	map04016
gid10198.0.1	K01087	map00500
gid10199.0.1	K01206	map00511
gid102001.0.1	K19891	map00500
gid102014.0.1	K09648	map03060
gid102030.0.1	K02936	map03010
gid102031.0.1	K02941	map03010
gid102036.0.1	K02324	map00230
gid102036.0.1	K02324	map00240
gid102036.0.1	K02324	map03030
gid102036.0.1	K02324	map03410
gid102036.0.1	K02324	map03420
gid102037.0.1	K00036	map00030
gid102037.0.1	K00036	map00480
gid10203.0.1	K16871	map00250
gid10203.0.1	K16871	map00650
gid102040.0.1	K01953	map00250
gid102040.0.2	K01953	map00250
gid102070.0.1	K02973	map03010
gid102076.0.1	K01595	map00620
gid102076.0.1	K01595	map00710
gid102094.0.1	K09481	map03060
gid102094.0.1	K09481	map04141
gid102094.0.1	K09481	map04145
gid102095.0.1	K10256	map01040
gid102117.0.1	K14156	map00564
gid102135.0.1	K01087	map00500
gid102138.0.1	K05747	map04144
gid102138.0.2	K05747	map04144
gid10213.0.1	K14494	map04075
gid102149.0.1	K10527	map00071
gid102149.0.1	K10527	map00592
gid102179.0.2	K12447	map00040
gid102179.0.2	K12447	map00052
gid102179.0.2	K12447	map00053
gid102179.0.2	K12447	map00520
gid102186.0.1	K00705	map00500
gid10218.0.1	K12823	map03040
gid10219.0.1	K18467	map04144
gid10222.0.1	K12733	map03040
gid1022.0.1	K02952	map03010
gid102305.0.1	K02930	map03010
gid10230.0.1	K14290	map03008
gid10230.0.1	K14290	map03013
gid10231.0.1	K10256	map01040
gid102336.0.1	K11129	map03008
gid10235.0.1	K00413	map00190
gid10238.0.1	K09839	map00906
gid1023.0.1	K00894	map00564
gid102413.0.1	K00660	map00941
gid102413.0.1	K00660	map04712
gid102413.1.1	K00660	map00941
gid102413.1.1	K00660	map04712
gid102413.1.2	K00660	map00941
gid102413.1.2	K00660	map04712
gid10242.0.1	K10956	map03060
gid10242.0.1	K10956	map04141
gid10242.0.1	K10956	map04145
gid10242.0.2	K10956	map03060
gid10242.0.2	K10956	map04141
gid10242.0.2	K10956	map04145
gid10245.0.1	K06123	map00564
gid10245.0.1	K06123	map00565
gid102478.0.1	K03006	map00230
gid102478.0.1	K03006	map00240
gid102478.0.1	K03006	map03020
gid10247.0.1	K08726	map00590
gid10247.0.1	K08726	map04146
gid102482.0.1	K01012	map00780
gid10248.0.1	K01817	map00400
gid10252.0.1	K06236	map04933
gid102538.0.1	K14327	map03013
gid102538.0.1	K14327	map03015
gid102546.0.1	K10396	map04144
gid10255.0.1	K08852	map04141
gid10255.1.1	K08852	map04141
gid102561.0.2	K04565	map04146
gid102561.0.3	K04565	map04146
gid10258.0.1	K13412	map04626
gid102598.0.2	K03841	map00010
gid102598.0.2	K03841	map00030
gid102598.0.2	K03841	map00051
gid102598.0.2	K03841	map00710
gid102610.0.1	K00500	map00360
gid102610.0.1	K00500	map00400
gid102610.0.1	K00500	map00790
gid102610.0.2	K00500	map00360
gid102610.0.2	K00500	map00400
gid102610.0.2	K00500	map00790
gid102610.0.3	K00500	map00360
gid102610.0.3	K00500	map00400
gid102610.0.3	K00500	map00790
gid102611.0.1	K10807	map00230
gid102611.0.1	K10807	map00240
gid102611.0.1	K10807	map00480
gid102650.0.1	K12581	map03018
gid102656.0.1	K12877	map03013
gid102656.0.1	K12877	map03015
gid102656.0.1	K12877	map03040
gid10268.0.1	K14409	map03015
gid1026.0.1	K01867	map00970
gid102710.0.1	K00600	map00260
gid102710.0.1	K00600	map00460
gid102710.0.1	K00600	map00630
gid102710.0.1	K00600	map00670
gid10274.0.1	K00128	map00010
gid10274.0.1	K00128	map00053
gid10274.0.1	K00128	map00071
gid10274.0.1	K00128	map00280
gid10274.0.1	K00128	map00310
gid10274.0.1	K00128	map00330
gid10274.0.1	K00128	map00340
gid10274.0.1	K00128	map00380
gid10274.0.1	K00128	map00410
gid10274.0.1	K00128	map00561
gid10274.0.1	K00128	map00620
gid10274.0.1	K00128	map00903
gid102759.0.2	K13448	map04626
gid10275.0.1	K01051	map00040
gid10278.0.1	K04715	map00600
gid1027.0.1	K14317	map03013
gid102844.0.1	K03142	map03022
gid102844.0.1	K03142	map03420
gid102858.0.1	K00276	map00260
gid102858.0.1	K00276	map00350
gid102858.0.1	K00276	map00360
gid102858.0.1	K00276	map00410
gid102858.0.1	K00276	map00950
gid102858.0.1	K00276	map00960
gid102862.0.1	K08737	map03430
gid10286.0.1	K02969	map03010
gid102873.0.1	K00966	map00051
gid102873.0.1	K00966	map00520
gid10289.0.1	K06215	map00750
gid10291.0.1	K16055	map00500
gid102925.0.1	K02324	map00230
gid102925.0.1	K02324	map00240
gid102925.0.1	K02324	map03030
gid102925.0.1	K02324	map03410
gid102925.0.1	K02324	map03420
gid10292.0.1	K12812	map03013
gid10292.0.1	K12812	map03015
gid10292.0.1	K12812	map03040
gid102951.0.1	K00383	map00480
gid10295.0.1	K03247	map03013
gid102964.0.1	K14168	map04122
gid102996.0.1	K07374	map04145
gid1029.0.1	K13126	map03013
gid1029.0.1	K13126	map03015
gid1029.0.1	K13126	map03018
gid1029.1.2	K13126	map03013
gid1029.1.2	K13126	map03015
gid1029.1.2	K13126	map03018
gid103024.0.1	K00588	map00360
gid103024.0.1	K00588	map00940
gid103024.0.1	K00588	map00941
gid103024.0.1	K00588	map00945
gid10302.0.1	K01087	map00500
gid103060.0.1	K00868	map00750
gid10306.0.1	K13130	map03013
gid10307.0.1	K00975	map00500
gid10307.0.1	K00975	map00520
gid10310.0.1	K00083	map00940
gid10311.0.1	K00434	map00053
gid10311.0.1	K00434	map00480
gid103122.0.1	K14326	map03013
gid103122.0.1	K14326	map03015
gid10312.0.1	K14504	map04075
gid10313.0.1	K03006	map00230
gid10313.0.1	K03006	map00240
gid10313.0.1	K03006	map03020
gid103148.0.4	K14677	map00220
gid10314.0.1	K03678	map03018
gid10316.0.1	K13414	map04016
gid10316.0.1	K13414	map04626
gid10321.0.1	K01191	map00511
gid10323.0.1	K07889	map04144
gid10323.0.1	K07889	map04145
gid103243.0.1	K12604	map03018
gid103243.0.4	K12604	map03018
gid103244.0.1	K15633	map00010
gid103244.0.1	K15633	map00260
gid10324.0.1	K08054	map04141
gid10324.0.1	K08054	map04145
gid10324.1.1	K08054	map04141
gid10324.1.1	K08054	map04145
gid10326.0.1	K01738	map00270
gid10326.0.1	K01738	map00920
gid10330.0.1	K10526	map00592
gid103312.0.2	K12472	map04144
gid103313.0.1	K15397	map00062
gid10331.0.1	K00588	map00360
gid10331.0.1	K00588	map00940
gid10331.0.1	K00588	map00941
gid10331.0.1	K00588	map00945
gid10332.0.1	K01883	map00970
gid10333.0.1	K16794	map00565
gid103340.0.1	K08963	map00270
gid10334.0.1	K14497	map04016
gid10334.0.1	K14497	map04075
gid10336.0.1	K16055	map00500
gid103381.0.1	K01535	map00190
gid10339.0.2	K14495	map04075
gid103410.0.2	K01426	map00330
gid103410.0.2	K01426	map00360
gid103410.0.2	K01426	map00380
gid103429.0.1	K01079	map00260
gid103435.0.1	K01114	map00562
gid103435.0.1	K01114	map00564
gid103435.0.1	K01114	map00565
gid10343.0.2	K02889	map03010
gid10345.0.1	K01653	map00290
gid10345.0.1	K01653	map00650
gid10345.0.1	K01653	map00660
gid10345.0.1	K01653	map00770
gid10345.2.1	K12447	map00040
gid10345.2.1	K12447	map00052
gid10345.2.1	K12447	map00053
gid10345.2.1	K12447	map00520
gid103467.0.1	K10526	map00592
gid103467.0.2	K01904	map00130
gid103467.0.2	K01904	map00360
gid103467.0.2	K01904	map00940
gid10349.0.1	K01188	map00460
gid10349.0.1	K01188	map00500
gid10349.0.1	K01188	map00940
gid10350.0.2	K13525	map04141
gid10350.0.3	K13525	map04141
gid103533.0.1	K04035	map00860
gid103533.0.2	K04035	map00860
gid103538.0.1	K03006	map00230
gid103538.0.1	K03006	map00240
gid103538.0.1	K03006	map03020
gid10357.0.1	K01206	map00511
gid10358.0.1	K05747	map04144
gid10359.0.1	K02940	map03010
gid10361.0.1	K19891	map00500
gid10363.0.1	K07904	map04144
gid10364.0.1	K14538	map03008
gid10365.0.1	K01772	map00860
gid10367.0.1	K00695	map00500
gid103681.0.1	K03883	map00190
gid103684.0.3	K12572	map03018
gid103687.0.1	K02882	map03010
gid103704.0.1	K00021	map00900
gid10370.1.1	K13229	map00402
gid10375.0.1	K06443	map00906
gid10376.0.1	K15404	map00073
gid103786.0.1	K19073	map00860
gid10378.0.1	K15631	map00790
gid103791.0.1	K11584	map03015
gid103804.0.1	K15633	map00010
gid103804.0.1	K15633	map00260
gid103812.0.2	K00888	map00562
gid103812.0.2	K00888	map04070
gid103816.0.1	K03046	map00230
gid103816.0.1	K03046	map00240
gid103816.0.1	K03046	map03020
gid103877.0.1	K01507	map00190
gid10388.0.1	K03006	map00230
gid10388.0.1	K03006	map00240
gid10388.0.1	K03006	map03020
gid10390.0.1	K01051	map00040
gid103916.0.1	K03002	map00230
gid103916.0.1	K03002	map00240
gid103916.0.1	K03002	map03020
gid103916.0.2	K03002	map00230
gid103916.0.2	K03002	map00240
gid103916.0.2	K03002	map03020
gid103916.0.3	K03002	map00230
gid103916.0.3	K03002	map00240
gid103916.0.3	K03002	map03020
gid10391.0.1	K01535	map00190
gid103923.0.3	K00108	map00260
gid103938.0.2	K18660	map00280
gid10394.0.1	K00006	map00564
gid103955.0.1	K00966	map00051
gid103955.0.1	K00966	map00520
gid10403.0.1	K12451	map00520
gid10403.0.1	K12451	map00523
gid104041.0.1	K12129	map04712
gid104052.0.1	K14550	map03008
gid10408.0.1	K12604	map03018
gid10410.0.1	K01873	map00970
gid10410.0.2	K01873	map00970
gid10413.0.1	K00430	map00940
gid104140.0.1	K02979	map03010
gid104143.0.1	K00029	map00620
gid104143.0.1	K00029	map00710
gid104149.0.1	K00819	map00330
gid104154.0.2	K20716	map04016
gid104158.0.1	K02183	map04016
gid104158.0.1	K02183	map04070
gid104158.0.1	K02183	map04626
gid104181.0.1	K12839	map03040
gid104193.0.1	K14554	map03008
gid10425.0.1	K15919	map00260
gid10425.0.1	K15919	map00630
gid104267.0.1	K00103	map00053
gid104297.0.1	K02961	map03010
gid104320.0.1	K02934	map03010
gid10435.0.1	K03242	map03013
gid10436.0.1	K01164	map03008
gid10436.0.1	K01164	map03013
gid104375.0.1	K00679	map00561
gid10437.0.1	K10604	map04120
gid104389.0.1	K00430	map00940
gid10438.0.1	K10683	map03440
gid104391.0.1	K00600	map00260
gid104391.0.1	K00600	map00460
gid104391.0.1	K00600	map00630
gid104391.0.1	K00600	map00670
gid1043.0.1	K12872	map03040
gid10440.0.1	K01803	map00010
gid10440.0.1	K01803	map00051
gid10440.0.1	K01803	map00562
gid10440.0.1	K01803	map00710
gid10441.0.1	K18453	map00230
gid10441.0.1	K18453	map00740
gid10442.0.1	K01190	map00052
gid10442.0.1	K01190	map00511
gid10442.0.1	K01190	map00600
gid104447.0.1	K10683	map03440
gid104458.0.1	K13648	map00520
gid1044.0.1	K14567	map03008
gid104509.0.1	K07512	map00062
gid10450.0.1	K03039	map03050
gid104546.0.1	K06689	map04120
gid104546.0.1	K06689	map04141
gid104547.0.2	K14488	map04075
gid10455.0.1	K00889	map00562
gid10455.0.1	K00889	map04070
gid10455.0.1	K00889	map04144
gid10457.0.1	K01599	map00860
gid104585.0.1	K01880	map00970
gid10460.0.1	K02988	map03010
gid104617.0.1	K00873	map00010
gid104617.0.1	K00873	map00230
gid104617.0.1	K00873	map00620
gid104617.0.3	K00873	map00010
gid104617.0.3	K00873	map00230
gid104617.0.3	K00873	map00620
gid10461.0.1	K01535	map00190
gid104630.0.1	K00688	map00500
gid104635.0.1	K13356	map00073
gid104635.0.1	K13356	map04146
gid10467.0.1	K03655	map03440
gid10468.0.1	K10846	map03420
gid1046.0.1	K13424	map04016
gid1046.0.1	K13424	map04626
gid10470.0.1	K04565	map04146
gid104715.0.1	K00422	map00350
gid104715.0.1	K00422	map00950
gid10471.0.1	K00939	map00230
gid10471.0.1	K00939	map00730
gid104727.0.1	K15095	map00902
gid104751.0.3	K12837	map03040
gid104783.0.1	K00787	map00900
gid104794.0.1	K00008	map00040
gid104794.0.1	K00008	map00051
gid10482.0.1	K14552	map03008
gid104832.0.1	K00854	map00040
gid104832.0.2	K00854	map00040
gid10483.0.1	K07904	map04144
gid104841.0.1	K14396	map03015
gid104843.0.1	K01870	map00970
gid104869.0.1	K09562	map04141
gid104872.0.1	K03841	map00010
gid104872.0.1	K03841	map00030
gid104872.0.1	K03841	map00051
gid104872.0.1	K03841	map00710
gid104916.0.1	K13449	map04016
gid104916.0.1	K13449	map04075
gid104916.0.1	K13449	map04626
gid104916.1.1	K13449	map04016
gid104916.1.1	K13449	map04075
gid104916.1.1	K13449	map04626
gid104920.0.1	K13126	map03013
gid104920.0.1	K13126	map03015
gid104920.0.1	K13126	map03018
gid104921.0.1	K12471	map04144
gid10492.1.1	K01087	map00500
gid10494.0.1	K01191	map00511
gid104985.0.1	K05955	map00900
gid104998.0.1	K09842	map00906
gid10499.0.1	K00451	map00350
gid1049.0.1	K01051	map00040
gid104.0.1	K12127	map04712
gid105023.0.1	K01051	map00040
gid10502.0.1	K11087	map03040
gid105037.0.3	K12813	map03040
gid10504.0.1	K06943	map03008
gid105069.0.1	K13448	map04626
gid105069.0.2	K13448	map04626
gid105077.0.1	K00128	map00010
gid105077.0.1	K00128	map00053
gid105077.0.1	K00128	map00071
gid105077.0.1	K00128	map00280
gid105077.0.1	K00128	map00310
gid105077.0.1	K00128	map00330
gid105077.0.1	K00128	map00340
gid105077.0.1	K00128	map00380
gid105077.0.1	K00128	map00410
gid105077.0.1	K00128	map00561
gid105077.0.1	K00128	map00620
gid105077.0.1	K00128	map00903
gid10507.0.2	K15744	map00906
gid10508.0.1	K07418	map00590
gid10508.0.1	K07418	map00591
gid10509.0.1	K01230	map00510
gid10509.0.1	K01230	map04141
gid1050.0.1	K14376	map03015
gid105107.0.4	K01051	map00040
gid10510.0.1	K05280	map00941
gid10510.0.1	K05280	map00944
gid105201.0.2	K15398	map00073
gid10521.0.1	K13248	map00750
gid105227.0.1	K14326	map03013
gid105227.0.1	K14326	map03015
gid105230.0.1	K10846	map03420
gid105231.0.2	K02267	map00190
gid10524.0.1	K00621	map00520
gid105250.0.1	K11092	map03040
gid10527.0.1	K12486	map04144
gid105284.0.2	K03283	map03040
gid105284.0.2	K03283	map04141
gid105284.0.2	K03283	map04144
gid105333.0.2	K00901	map00561
gid105333.0.2	K00901	map00564
gid105333.0.2	K00901	map04070
gid105348.1.1	K10251	map00062
gid105348.1.1	K10251	map01040
gid105356.0.2	K05658	map02010
gid10537.0.1	K05605	map00280
gid10537.0.1	K05605	map00410
gid10537.0.1	K05605	map00640
gid105396.0.2	K12153	map00460
gid105396.0.2	K12153	map00966
gid10542.0.1	K02978	map03010
gid10543.0.1	K02941	map03010
gid105449.0.1	K14272	map00220
gid105449.0.1	K14272	map00250
gid105449.0.1	K14272	map00260
gid105449.0.1	K14272	map00630
gid105449.0.1	K14272	map00710
gid105449.0.2	K14272	map00220
gid105449.0.2	K14272	map00250
gid105449.0.2	K14272	map00260
gid105449.0.2	K14272	map00630
gid105449.0.2	K14272	map00710
gid10546.0.1	K02977	map03010
gid10548.0.1	K16794	map00565
gid105491.0.1	K22771	map00944
gid105513.0.1	K00921	map00562
gid105513.0.1	K00921	map04070
gid105513.0.1	K00921	map04145
gid10551.0.1	K00059	map00061
gid10551.0.1	K00059	map00333
gid10551.0.1	K00059	map00780
gid10551.0.1	K00059	map01040
gid105535.0.4	K03644	map00785
gid105538.1.1	K05356	map00900
gid10555.0.1	K10848	map03420
gid10556.2.2	K14175	map00909
gid105575.0.1	K01535	map00190
gid1055.1.1	K03352	map04120
gid105600.0.1	K01868	map00970
gid105600.0.3	K01868	map00970
gid10563.0.1	K13667	map00514
gid10566.0.1	K02716	map00195
gid10566.0.2	K02716	map00195
gid105672.0.2	K03231	map03013
gid105672.0.3	K03231	map03013
gid105672.1.1	K03231	map03013
gid105677.0.1	K00939	map00230
gid105677.0.1	K00939	map00730
gid10569.0.1	K02256	map00190
gid105700.0.1	K13412	map04626
gid105706.1.1	K13434	map04626
gid105708.0.1	K02552	map00130
gid105708.0.1	K02552	map01053
gid105708.1.2	K02552	map00130
gid105708.1.2	K02552	map01053
gid105715.0.1	K14491	map04075
gid10571.0.1	K06617	map00052
gid105728.0.1	K00705	map00500
gid105738.0.1	K00967	map00440
gid105738.0.1	K00967	map00564
gid105769.0.1	K02896	map03010
gid105778.0.3	K00873	map00010
gid105778.0.3	K00873	map00230
gid105778.0.3	K00873	map00620
gid105778.0.4	K00873	map00010
gid105778.0.4	K00873	map00230
gid105778.0.4	K00873	map00620
gid105798.0.1	K19891	map00500
gid10580.0.2	K02267	map00190
gid105821.0.2	K14411	map03015
gid10582.0.2	K14564	map03008
gid10583.0.1	K20714	map04016
gid105851.0.2	K01759	map00620
gid105859.0.1	K18121	map00630
gid105859.0.1	K18121	map00650
gid10588.0.1	K02150	map00190
gid10588.0.1	K02150	map04145
gid1058.0.2	K08081	map00960
gid10593.0.1	K01099	map00562
gid10593.0.1	K01099	map04070
gid105950.0.1	K07937	map04144
gid105967.0.1	K13459	map04626
gid105967.1.1	K13459	map04626
gid105969.0.1	K02888	map03010
gid105986.0.1	K00432	map00480
gid105986.0.1	K00432	map00590
gid10599.0.1	K03231	map03013
gid10599.1.1	K03231	map03013
gid106005.0.1	K04728	map03440
gid106031.0.1	K13025	map03013
gid106031.0.1	K13025	map03015
gid106031.0.1	K13025	map03040
gid106031.0.3	K03257	map03013
gid10604.0.1	K00434	map00053
gid10604.0.1	K00434	map00480
gid10609.0.1	K07904	map04144
gid1060.0.2	K01759	map00620
gid106100.0.1	K00164	map00020
gid106100.0.1	K00164	map00310
gid106100.0.1	K00164	map00380
gid106101.0.1	K08488	map04130
gid106101.0.1	K08488	map04145
gid106104.0.3	K04565	map04146
gid10610.0.1	K02726	map03050
gid10610.1.3	K02726	map03050
gid10611.0.1	K12349	map00600
gid10612.0.1	K14312	map03013
gid10613.0.1	K10838	map03420
gid10615.0.1	K00430	map00940
gid106169.0.2	K00938	map00900
gid106184.0.3	K10144	map04120
gid106186.0.1	K08341	map04136
gid106195.0.2	K00029	map00620
gid106195.0.2	K00029	map00710
